name,company,work_area,salary,requirements,company_type,company_size,field
Java开发工程师-内部信息化,航天信息江苏有限公司,南京-浦口区,6-8千/月,"['1年经验', '本科']",国企,1000-5000人,计算机软件
高级Java开发工程师 (MJ000563),上海诺亚金融服务有限公司,南京-秦淮区,2-3.5万/月,"['3-4年经验', '本科']",上市公司,1000-5000人,金融/投资/证券
Java开发工程师（校招）,施强集团,杭州-滨江区,0.8-1.3万/月,"['无需经验', '本科']",外资（非欧美）,1000-5000人,多元化业务集团公司
Java开发工程师,国药控股国大药房有限公司,上海-黄浦区,,"['3-4年经验', '本科']",国企,10000人以上,批发/零售
Java开发工程师,佛山市海天调味食品股份有限公司,佛山,1.1-1.8万/月,"['2年经验', '本科']",上市公司,5000-10000人,快速消费品(食品、饮料、化妆品)
JAVA开发顾问,嘉兴金蝶软件有限公司,嘉兴,1-1.5万/月,"['2年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师/开发程序员,东莞市高品计量技术服务有限公司,东莞-东城区,4-8千/月,"['2年经验', '大专']",民营公司,50-150人,检测，认证
JAVA开发工程师,上海数禧信息科技服务有限公司,上海-徐汇区,0.8-1.5万/月,"['2年经验', '大专']",民营公司,50-150人,计算机软件
开发组长/技术经理/高级Java工程师,广州致讯信息科技有限责任公司,广州-黄埔区,1.5-2万/月,"['3-4年经验', '本科']",民营公司,150-500人,计算机服务(系统、数据服务、维修)
Java高级开发工程师,沃泰控股集团有限公司,广州-天河区,2-4万/月,"['5-7年经验', '本科']",民营公司,500-1000人,多元化业务集团公司
Java后端开发工程师,成都筑川科技有限公司,成都-成华区,7-8千/月,"['2年经验', '大专']",民营公司,50-150人,电气/电力/水利
Java开发实习生,深圳市迦兰伟业科技有限公司,深圳-宝安区,4-6.5千/月,"['无需经验', '大专']",民营公司,,计算机软件
Java开发工程师,广州爱奇技术有限公司,广州-海珠区,1-1.5万/月,"['2年经验', '本科']",创业公司,少于50人,互联网/电子商务
Java开发工程师（桂林/柳州）,广西和湛科技有限公司,南宁,0.8-1万/月,"['1年经验', '大专']",民营公司,50-150人,计算机软件
Java开发工程师,上海万昆信息科技发展有限公司,上海-浦东新区,1.5-3万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机服务(系统、数据服务、维修)
JAVA云平台开发工程师,武汉迈威通信股份有限公司,武汉-东湖新技术产业开发区,15-25万/年,"['3-4年经验', '本科']",上市公司,150-500人,通信/电信/网络设备
Java开发工程师(后端),广东新大禹环境科技股份有限公司,广州-黄埔区,1.5-2.5万/月,"['3-4年经验', '本科']",民营公司,500-1000人,环保
Java高级开发工程师,北京优捷信达信息科技有限公司,北京-朝阳区,1.3-1.8万/月,"['5-7年经验', '本科']",合资,少于50人,计算机服务(系统、数据服务、维修)
Java开发工程师,珠海经济特区伟思有限公司,珠海,0.8-1.5万/月,"['3-4年经验', '本科']",民营公司,150-500人,计算机软件
JAVA 软件工程师,上海傲融软件技术有限公司,上海-浦东新区,12-24万/年,"['2年经验', '大专']",民营公司,50-150人,计算机软件
Java高级开发工程师,深圳市华融天成科技有限公司,深圳-福田区,1.5-2万/月,"['5-7年经验', '本科']",民营公司,50-150人,计算机服务(系统、数据服务、维修)
Java开发工程师,科控工业自动化设备（上海）有限公司,上海-闵行区,1.5-2.5万/月,"['3-4年经验', '本科']",外资（欧美）,50-150人,仪器仪表/工业自动化
Java开发工程师,联想中望系统服务有限公司（现越亮传奇科技股份有限公司）,广州,1-1.3万/月,"['1年经验', '大专']",合资,500-1000人,计算机软件
Java开发工程师,上海迪费网络科技合伙企业（有限合伙）,上海-浦东新区,1.5-2.5万/月,"['3-4年经验', '大专']",民营公司,50-150人,互联网/电子商务
